facility_id,URL,slug,corp_type
15009,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015009,15009,For profit - Corporation
15010,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015010,15010,For profit - Corporation
15012,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015012,15012,Government - County
15014,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015014,15014,For profit - Individual
15015,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015015,15015,For profit - Individual
15016,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015016,15016,For profit - Corporation
15019,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015019,15019,For profit - Corporation
15023,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015023,15023,For profit - Corporation
15024,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015024,15024,For profit - Corporation
15027,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015027,15027,For profit - Corporation
15028,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015028,15028,For profit - Corporation
15031,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015031,15031,For profit - Corporation
15032,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015032,15032,For profit - Corporation
15034,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015034,15034,For profit - Corporation
15035,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015035,15035,For profit - Limited Liability company
15037,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015037,15037,For profit - Partnership
15040,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015040,15040,For profit - Limited Liability company
15042,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015042,15042,For profit - Corporation
15044,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015044,15044,For profit - Corporation
15045,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015045,15045,Non profit - Other
15047,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015047,15047,For profit - Corporation
15048,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015048,15048,For profit - Corporation
15049,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015049,15049,Non profit - Corporation
15050,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015050,15050,For profit - Corporation
15053,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015053,15053,Government - County
15060,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015060,15060,For profit - Corporation
15063,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015063,15063,For profit - Corporation
15065,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015065,15065,For profit - Individual
15066,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015066,15066,For profit - Corporation
15067,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015067,15067,For profit - Corporation
15071,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015071,15071,For profit - Corporation
15073,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015073,15073,For profit - Corporation
15075,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015075,15075,For profit - Corporation
15076,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015076,15076,For profit - Corporation
15083,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015083,15083,For profit - Corporation
15084,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015084,15084,For profit - Corporation
15089,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015089,15089,For profit - Corporation
15091,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015091,15091,For profit - Partnership
15097,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015097,15097,For profit - Corporation
15098,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015098,15098,Non profit - Corporation
15100,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015100,15100,For profit - Corporation
15101,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015101,15101,For profit - Corporation
15103,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015103,15103,For profit - Corporation
15104,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015104,15104,For profit - Corporation
15109,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015109,15109,For profit - Corporation
15111,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015111,15111,For profit - Corporation
15112,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015112,15112,For profit - Corporation
15113,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015113,15113,For profit - Corporation
15114,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015114,15114,For profit - Corporation
15115,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015115,15115,For profit - Corporation
15116,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015116,15116,For profit - Corporation
15117,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015117,15117,For profit - Corporation
15119,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015119,15119,For profit - Partnership
15120,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015120,15120,For profit - Corporation
15121,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015121,15121,For profit - Limited Liability company
15123,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015123,15123,Government - County
15124,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015124,15124,Non profit - Other
15126,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015126,15126,For profit - Corporation
15127,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015127,15127,For profit - Corporation
15128,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015128,15128,For profit - Corporation
15129,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015129,15129,For profit - Corporation
15132,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015132,15132,For profit - Corporation
15133,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015133,15133,For profit - Corporation
15134,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015134,15134,For profit - Partnership
15135,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015135,15135,Non profit - Corporation
15136,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015136,15136,For profit - Corporation
15137,https://www.medicare.gov/nursinghomecompare/profile.html#profTab=0&ID=015137,15137,For profit - Corporation
