state,variable,value
AK,FP,16.68454412
AK,NP,623.6538133
AL,FP,62.79496385
AL,NP,71.19601122
AR,FP,1324.810452
AR,NP,119.2641394
AZ,FP,69.51004505
AZ,NP,110.7136292
CA,FP,29137.05049
CA,NP,2529.541611
CO,FP,1446.186778
CO,NP,116.1514061
CT,FP,1055.691046
CT,NP,88.4468735
DE,FP,147.7898894
DE,NP,151.7086931
FL,FP,842.2107316
FL,NP,745.9688106
GA,FP,544.2376772
GA,NP,47.20042289
HI,FP,132.1064905
HI,NP,160.6655926
IA,FP,1392.828284
IA,NP,83.14432797
ID,FP,245.3850211
ID,NP,224.4049105
IL,FP,1798.223841
IL,NP,1305.551908
IN,FP,1691.968083
IN,NP,1591.754518
KS,FP,1828.549215
KS,NP,177.2873706
KY,FP,1021.861403
KY,NP,68.56530798
LA,FP,633.5384864
LA,NP,58.26403138
MA,FP,969.1486555
MA,NP,61.92737402
MD,FP,1843.791831
MD,NP,102.4827628
ME,FP,111.0422522
ME,NP,60.94519794
MI,FP,2486.121099
MI,NP,1603.474389
MN,FP,2580.283426
MN,NP,1187.030616
MO,FP,1559.004302
MO,NP,111.5973454
MS,FP,73.65492253
MS,NP,7.80315815
MT,FP,397.304904
MT,NP,188.4381113
NC,FP,1130.823635
NC,NP,84.13748298
ND,FP,35.44932334
ND,NP,135.4645704
NE,FP,246.0893519
NE,NP,166.3078856
NH,FP,58.26692443
NH,NP,3.748145864
NJ,FP,477.8445102
NJ,NP,48.83268401
NM,FP,247.8823827
NM,NP,255.4769721
NV,FP,134.6760546
NV,NP,21.17196634
NY,FP,520.9903284
NY,NP,31.96443423
OH,FP,1351.348173
OH,NP,910.5973275
OK,FP,2207.857354
OK,NP,125.2656016
OR,FP,2779.520399
OR,NP,160.7260004
PA,FP,1691.191304
PA,NP,912.2929831
RI,FP,30.12465733
RI,NP,3.402168748
SC,FP,1034.233432
SC,NP,117.8898007
SD,FP,181.373676
SD,NP,110.0324525
TN,FP,82.47692163
TN,NP,51.70689355
TX,FP,2431.500917
TX,NP,1984.832948
UT,FP,426.4505254
UT,NP,286.7602386
VA,FP,2568.971019
VA,NP,198.7622911
VT,FP,249.0547488
VT,NP,22.16025718
WA,FP,5599.455678
WA,NP,483.6688295
WI,FP,3682.226311
WI,NP,161.8339006
WV,FP,317.0894591
WV,NP,276.7139759
WY,FP,486.650971
WY,NP,535.2288577
