state,variable,value
NC,avg_forprofit_deficiencies_percapita,90
CA,avg_forprofit_deficiencies_percapita,89
OK,avg_forprofit_deficiencies_percapita,89
OR,avg_forprofit_deficiencies_percapita,89
CT,avg_forprofit_deficiencies_percapita,87
KY,avg_forprofit_deficiencies_percapita,87
NV,avg_forprofit_deficiencies_percapita,87
LA,avg_forprofit_deficiencies_percapita,86
AL,avg_forprofit_deficiencies_percapita,85
CO,avg_forprofit_deficiencies_percapita,85
TX,avg_forprofit_deficiencies_percapita,85
WV,avg_forprofit_deficiencies_percapita,85
MO,avg_forprofit_deficiencies_percapita,84
OH,avg_forprofit_deficiencies_percapita,83
TN,avg_forprofit_deficiencies_percapita,83
MS,avg_forprofit_deficiencies_percapita,82
AR,avg_forprofit_deficiencies_percapita,81
IL,avg_forprofit_deficiencies_percapita,81
MD,avg_forprofit_deficiencies_percapita,81
NJ,avg_forprofit_deficiencies_percapita,81
RI,avg_forprofit_deficiencies_percapita,81
SC,avg_forprofit_deficiencies_percapita,81
VA,avg_forprofit_deficiencies_percapita,79
MA,avg_forprofit_deficiencies_percapita,78
NH,avg_forprofit_deficiencies_percapita,78
ID,avg_forprofit_deficiencies_percapita,77
ME,avg_forprofit_deficiencies_percapita,77
NM,avg_forprofit_deficiencies_percapita,77
WA,avg_forprofit_deficiencies_percapita,77
MI,avg_forprofit_deficiencies_percapita,76
AZ,avg_forprofit_deficiencies_percapita,75
FL,avg_forprofit_deficiencies_percapita,75
VT,avg_forprofit_deficiencies_percapita,75
GA,avg_forprofit_deficiencies_percapita,74
NY,avg_forprofit_deficiencies_percapita,69
WI,avg_forprofit_deficiencies_percapita,67
DE,avg_forprofit_deficiencies_percapita,66
PA,avg_forprofit_deficiencies_percapita,63
IA,avg_forprofit_deficiencies_percapita,62
KS,avg_forprofit_deficiencies_percapita,60
PR,avg_forprofit_deficiencies_percapita,60
MT,avg_forprofit_deficiencies_percapita,59
DC,avg_forprofit_deficiencies_percapita,56
WY,avg_forprofit_deficiencies_percapita,55
HI,avg_forprofit_deficiencies_percapita,53
UT,avg_forprofit_deficiencies_percapita,53
NE,avg_forprofit_deficiencies_percapita,52
NE,avg_nonprofit_deficiencies_percapita,48
HI,avg_nonprofit_deficiencies_percapita,47
UT,avg_nonprofit_deficiencies_percapita,47
SD,avg_forprofit_deficiencies_percapita,46
WY,avg_nonprofit_deficiencies_percapita,45
DC,avg_nonprofit_deficiencies_percapita,44
IN,avg_forprofit_deficiencies_percapita,44
MT,avg_nonprofit_deficiencies_percapita,41
KS,avg_nonprofit_deficiencies_percapita,40
PR,avg_nonprofit_deficiencies_percapita,40
IA,avg_nonprofit_deficiencies_percapita,38
PA,avg_nonprofit_deficiencies_percapita,37
DE,avg_nonprofit_deficiencies_percapita,34
WI,avg_nonprofit_deficiencies_percapita,33
NY,avg_nonprofit_deficiencies_percapita,31
GA,avg_nonprofit_deficiencies_percapita,26
AZ,avg_nonprofit_deficiencies_percapita,25
FL,avg_nonprofit_deficiencies_percapita,25
VT,avg_nonprofit_deficiencies_percapita,25
MI,avg_nonprofit_deficiencies_percapita,24
ID,avg_nonprofit_deficiencies_percapita,23
ME,avg_nonprofit_deficiencies_percapita,23
NM,avg_nonprofit_deficiencies_percapita,23
WA,avg_nonprofit_deficiencies_percapita,23
MA,avg_nonprofit_deficiencies_percapita,22
NH,avg_nonprofit_deficiencies_percapita,22
VA,avg_nonprofit_deficiencies_percapita,21
AR,avg_nonprofit_deficiencies_percapita,19
IL,avg_nonprofit_deficiencies_percapita,19
MD,avg_nonprofit_deficiencies_percapita,19
NJ,avg_nonprofit_deficiencies_percapita,19
RI,avg_nonprofit_deficiencies_percapita,19
SC,avg_nonprofit_deficiencies_percapita,19
MS,avg_nonprofit_deficiencies_percapita,18
OH,avg_nonprofit_deficiencies_percapita,17
TN,avg_nonprofit_deficiencies_percapita,17
MO,avg_nonprofit_deficiencies_percapita,16
AL,avg_nonprofit_deficiencies_percapita,15
CO,avg_nonprofit_deficiencies_percapita,15
TX,avg_nonprofit_deficiencies_percapita,15
WV,avg_nonprofit_deficiencies_percapita,15
LA,avg_nonprofit_deficiencies_percapita,14
CT,avg_nonprofit_deficiencies_percapita,13
KY,avg_nonprofit_deficiencies_percapita,13
NV,avg_nonprofit_deficiencies_percapita,13
CA,avg_nonprofit_deficiencies_percapita,11
OK,avg_nonprofit_deficiencies_percapita,11
OR,avg_nonprofit_deficiencies_percapita,11
NC,avg_nonprofit_deficiencies_percapita,10
IN,avg_nonprofit_deficiencies_percapita,56
MN,avg_nonprofit_deficiencies_percapita,58
MN,avg_forprofit_deficiencies_percapita,42
SD,avg_nonprofit_deficiencies_percapita,54
AK,avg_nonprofit_deficiencies_percapita,92
AK,avg_forprofit_deficiencies_percapita,8
ND,avg_nonprofit_deficiencies_percapita,93
ND,avg_forprofit_deficiencies_percapita,7
