state,variable,value
AK,avg_forprofit_deficiencies_percapita,8
AK,avg_nonprofit_deficiencies_percapita,92
AL,avg_forprofit_deficiencies_percapita,85
AL,avg_nonprofit_deficiencies_percapita,15
AR,avg_forprofit_deficiencies_percapita,81
AR,avg_nonprofit_deficiencies_percapita,19
AZ,avg_forprofit_deficiencies_percapita,75
AZ,avg_nonprofit_deficiencies_percapita,25
CA,avg_forprofit_deficiencies_percapita,89
CA,avg_nonprofit_deficiencies_percapita,11
CO,avg_nonprofit_deficiencies_percapita,15
CO,avg_forprofit_deficiencies_percapita,85
CT,avg_forprofit_deficiencies_percapita,87
CT,avg_nonprofit_deficiencies_percapita,13
DC,avg_nonprofit_deficiencies_percapita,44
DC,avg_forprofit_deficiencies_percapita,56
DE,avg_nonprofit_deficiencies_percapita,34
DE,avg_forprofit_deficiencies_percapita,66
FL,avg_nonprofit_deficiencies_percapita,25
FL,avg_forprofit_deficiencies_percapita,75
GA,avg_nonprofit_deficiencies_percapita,26
GA,avg_forprofit_deficiencies_percapita,74
HI,avg_nonprofit_deficiencies_percapita,47
HI,avg_forprofit_deficiencies_percapita,53
IA,avg_nonprofit_deficiencies_percapita,38
IA,avg_forprofit_deficiencies_percapita,62
ID,avg_nonprofit_deficiencies_percapita,23
ID,avg_forprofit_deficiencies_percapita,77
IL,avg_nonprofit_deficiencies_percapita,19
IL,avg_forprofit_deficiencies_percapita,81
IN,avg_nonprofit_deficiencies_percapita,56
IN,avg_forprofit_deficiencies_percapita,44
KS,avg_nonprofit_deficiencies_percapita,40
KS,avg_forprofit_deficiencies_percapita,60
KY,avg_forprofit_deficiencies_percapita,87
KY,avg_nonprofit_deficiencies_percapita,13
LA,avg_nonprofit_deficiencies_percapita,14
LA,avg_forprofit_deficiencies_percapita,86
MA,avg_nonprofit_deficiencies_percapita,22
MA,avg_forprofit_deficiencies_percapita,78
MD,avg_nonprofit_deficiencies_percapita,19
MD,avg_forprofit_deficiencies_percapita,81
ME,avg_nonprofit_deficiencies_percapita,23
ME,avg_forprofit_deficiencies_percapita,77
MI,avg_forprofit_deficiencies_percapita,76
MI,avg_nonprofit_deficiencies_percapita,24
MN,avg_forprofit_deficiencies_percapita,42
MN,avg_nonprofit_deficiencies_percapita,58
MO,avg_forprofit_deficiencies_percapita,84
MO,avg_nonprofit_deficiencies_percapita,16
MS,avg_forprofit_deficiencies_percapita,82
MS,avg_nonprofit_deficiencies_percapita,18
MT,avg_nonprofit_deficiencies_percapita,41
MT,avg_forprofit_deficiencies_percapita,59
NC,avg_forprofit_deficiencies_percapita,90
NC,avg_nonprofit_deficiencies_percapita,10
ND,avg_forprofit_deficiencies_percapita,7
ND,avg_nonprofit_deficiencies_percapita,93
NE,avg_forprofit_deficiencies_percapita,52
NE,avg_nonprofit_deficiencies_percapita,48
NH,avg_forprofit_deficiencies_percapita,78
NH,avg_nonprofit_deficiencies_percapita,22
NJ,avg_forprofit_deficiencies_percapita,81
NJ,avg_nonprofit_deficiencies_percapita,19
NM,avg_forprofit_deficiencies_percapita,77
NM,avg_nonprofit_deficiencies_percapita,23
NV,avg_nonprofit_deficiencies_percapita,13
NV,avg_forprofit_deficiencies_percapita,87
NY,avg_forprofit_deficiencies_percapita,69
NY,avg_nonprofit_deficiencies_percapita,31
OH,avg_nonprofit_deficiencies_percapita,17
OH,avg_forprofit_deficiencies_percapita,83
OK,avg_nonprofit_deficiencies_percapita,11
OK,avg_forprofit_deficiencies_percapita,89
OR,avg_nonprofit_deficiencies_percapita,11
OR,avg_forprofit_deficiencies_percapita,89
PA,avg_forprofit_deficiencies_percapita,63
PA,avg_nonprofit_deficiencies_percapita,37
PR,avg_nonprofit_deficiencies_percapita,40
PR,avg_forprofit_deficiencies_percapita,60
RI,avg_nonprofit_deficiencies_percapita,19
RI,avg_forprofit_deficiencies_percapita,81
SC,avg_nonprofit_deficiencies_percapita,19
SC,avg_forprofit_deficiencies_percapita,81
SD,avg_nonprofit_deficiencies_percapita,54
SD,avg_forprofit_deficiencies_percapita,46
TN,avg_nonprofit_deficiencies_percapita,17
TN,avg_forprofit_deficiencies_percapita,83
TX,avg_nonprofit_deficiencies_percapita,15
TX,avg_forprofit_deficiencies_percapita,85
UT,avg_nonprofit_deficiencies_percapita,47
UT,avg_forprofit_deficiencies_percapita,53
VA,avg_forprofit_deficiencies_percapita,79
VA,avg_nonprofit_deficiencies_percapita,21
VT,avg_nonprofit_deficiencies_percapita,25
VT,avg_forprofit_deficiencies_percapita,75
WA,avg_nonprofit_deficiencies_percapita,23
WA,avg_forprofit_deficiencies_percapita,77
WI,avg_nonprofit_deficiencies_percapita,33
WI,avg_forprofit_deficiencies_percapita,67
WV,avg_nonprofit_deficiencies_percapita,15
WV,avg_forprofit_deficiencies_percapita,85
WY,avg_forprofit_deficiencies_percapita,55
WY,avg_nonprofit_deficiencies_percapita,45
